key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,artist,title,typeart,notes,condition,appropiate,feeling,collector,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRikpd4BDA,2011-09-14 15:29:37.990000,38.03834821,-84.50097739,261.899993896,A1000017B05968,A1000017B05968_1316014177990,2011-09-14 15:29:37.990000,2011-09-14 15:44:43.074371,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRikpd4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj_rN4BDA,2011-09-14 15:23:52.673000,38.03805823,-84.50181075,265.0,A1000017B05968,A1000017B05968_1316013832673,2011-09-14 15:23:52.673000,2011-09-14 15:44:23.306394,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj_rN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiBrd4BDA,2011-09-14 15:26:58.020000,38.03829977,-84.50148315,264.0,A1000017B05968,A1000017B05968_1316014018020,2011-09-14 15:26:58.020000,2011-09-14 15:44:33.384282,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiBrd4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiCrd4BDA,2011-09-14 15:32:05.516000,38.03758752,-84.50209749,262.399993896,A1000017B05968,A1000017B05968_1316014325516,2011-09-14 15:32:05.516000,2011-09-14 15:44:43.417436,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiCrd4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjutN4BDA,2011-09-14 15:08:38.138000,38.03971683,-84.50385528,264.0,A1000017B05968,A1000017B05968_1316012918138,2011-09-14 15:08:38.138000,2011-09-14 15:44:00.264468,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjutN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjxtN4BDA,2011-09-14 15:20:36.880000,38.03797062,-84.50185592,260.100006104,A1000017B05968,A1000017B05968_1316013636880,2011-09-14 15:20:36.880000,2011-09-14 15:44:12.886471,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjxtN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjztN4BDA,2011-09-14 15:32:21.300000,38.03728818,-84.50218095,267.299987793,A1000017B05968,A1000017B05968_1316014341300,2011-09-14 15:32:21.300000,2011-09-14 15:44:47.111226,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjztN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj0tN4BDA,2011-09-14 15:34:50.346000,38.03718238,-84.50264597,279.899993896,A1000017B05968,A1000017B05968_1316014490346,2011-09-14 15:34:50.346000,2011-09-14 15:46:16.453781,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj0tN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjQvN4BDA,2011-09-14 15:14:59.513000,38.0385327129,-84.5007778991,294.689483643,7cac2f21b6a1ef66c08cb973ce51674fd6b39a65,0880663C-ADA2-46D0-9338-4D33DFEF60C3-1712-0000023E7C35BDFC,2011-09-14 15:17:12.654000,2011-09-14 15:25:23.226988,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjQvN4BDA","Albert Paley","","sculpture","","2slight","2somewhatapp","happy","Clay, katie, kiley",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjWvN4BDA,2011-09-14 15:33:39.107000,38.0371761,-84.50231384,268.0,A1000017B05968,A1000017B05968_1316014419107,2011-09-14 15:33:39.107000,2011-09-14 15:44:53.160836,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjWvN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjbvN4BDA,2011-09-14 15:36:32.010000,38.0369488,-84.5030022,273.700012207,A1000017B05968,A1000017B05968_1316014592010,2011-09-14 15:36:32.010000,2011-09-14 15:46:29.858530,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjbvN4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
